"Case Number","Description","Date, Time","Weekday","Time","Crime Type","Police Beat","Zip Code","Address","Latitude","Longitude","Accuracy","URL"
150009223,"INFLICT INJURY ON COHABITEE (ARREST, BOOKED)","2015-01-04 05:30:00",Sunday,"05:30","SIMPLE ASSAULT",,,,37.727729,-122.386675,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Simple_Assault/9355824"
150012812,"BURGLARY OF WAREHOUSE, UNLAWFUL ENTRY","2015-01-04 05:07:00",Sunday,"05:07",BURGLARY,,,,37.78357,-122.408421,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Burglary/9355825"
150009392,"PETTY THEFT FROM LOCKED AUTO","2015-01-04 05:00:00",Sunday,"05:00",THEFT,,,,37.7758,-122.414177,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Theft/9355826"
150009239,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY","2015-01-04 04:10:00",Sunday,"04:10",BURGLARY,,,,37.78992,-122.422063,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Burglary/9355827"
150010480,"ROBBERY, ARMED WITH A GUN","2015-01-04 04:00:00",Sunday,"04:00",ROBBERY,,,,37.780331,-122.406508,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Robbery/9355828"
150009198,"ROBBERY ON THE STREET WITH A DANGEROUS WEAPON","2015-01-04 03:40:00",Sunday,"03:40",ROBBERY,,,,37.788068,-122.393409,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Robbery/9355829"
150010957,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY","2015-01-04 03:06:00",Sunday,"03:06",BURGLARY,,,,37.734429,-122.390965,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Burglary/9355830"
150009110,"AGGRAVATED ASSAULT WITH BODILY FORCE","2015-01-04 02:41:00",Sunday,"02:41","SIMPLE ASSAULT",,,,37.785487,-122.399989,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Simple_Assault/9355831"
156014995,"GRAND THEFT FROM LOCKED AUTO","2015-01-04 02:30:00",Sunday,"02:30",THEFT,,,,37.73122,-122.434189,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Theft/9355832"
150009079,"AGGRAVATED ASSAULT WITH BODILY FORCE","2015-01-04 02:20:00",Sunday,"02:20","SIMPLE ASSAULT",,,,37.787407,-122.407413,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Simple_Assault/9355833"
150009085,"DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL (ARREST, BOOKED)","2015-01-04 02:05:00",Sunday,"02:05",ALCOHOL,,,,37.783087,-122.461211,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Alcohol/9355834"
150009483,"GRAND THEFT FROM PERSON","2015-01-04 02:00:00",Sunday,"02:00",THEFT,,,,37.785494,-122.408271,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Theft/9355836"
156009651,"GRAND THEFT FROM LOCKED AUTO","2015-01-04 02:00:00",Sunday,"02:00",THEFT,,,,37.781376,-122.433178,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Theft/9355835"
150009057,"PETTY THEFT FROM A BUILDING","2015-01-04 01:50:00",Sunday,"01:50",THEFT,,,,37.754488,-122.420818,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Theft/9355837"
150019379,"GRAND THEFT FROM PERSON","2015-01-04 01:40:00",Sunday,"01:40",THEFT,,,,37.771274,-122.413189,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Theft/9355838"
150009029,"ROBBERY ON THE STREET, STRONGARM","2015-01-04 01:35:00",Sunday,"01:35",ROBBERY,,,,37.785888,-122.411743,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Robbery/9355839"
150009580,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","2015-01-04 01:30:00",Sunday,"01:30",VANDALISM,,,,37.71862,-122.447011,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Vandalism/9355841"
150009853,"GRAND THEFT FROM PERSON","2015-01-04 01:30:00",Sunday,"01:30",THEFT,,,,37.782371,-122.448043,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Theft/9355840"
156003716,"PETTY THEFT OF PROPERTY","2015-01-04 01:00:00",Sunday,"01:00",THEFT,,,,37.771274,-122.413189,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Theft/9355844"
150012141,"GRAND THEFT PICKPOCKET","2015-01-04 01:00:00",Sunday,"01:00",THEFT,,,,37.788699,-122.420307,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Theft/9355843"
